Index;Obj.Type;Object Id;Obj.Name;Value;Description;Datum;Uhrzeit
AV-0;AnalogValue;0;System Time Year ;2022;;06.12.2022;14:25:29
AV-1;AnalogValue;1;System Time Month ;12;;06.12.2022;14:25:29
AV-2;AnalogValue;2;System Time Date ;6;;06.12.2022;14:25:29
AV-3;AnalogValue;3;System Time Hour ;14;;06.12.2022;14:25:29
AV-4;AnalogValue;4;System Time Minute ;25;;06.12.2022;14:25:29
AV-5;AnalogValue;5;System Time Second ;35;;06.12.2022;14:25:29
AV-100;AnalogValue;100;AHU Min Supply Fan Speed ;0;;06.12.2022;14:25:29
AV-101;AnalogValue;101;AHU Max Supply Fan Speed ;100;;06.12.2022;14:25:29
AV-102;AnalogValue;102;AHU Min Extract Fan Speed ;0;;06.12.2022;14:25:29
AV-103;AnalogValue;103;AHU Max Extract Fan Speed ;100;;06.12.2022;14:25:29
AV-104;AnalogValue;104;Minimum Supply Air Temperature ;15;;06.12.2022;14:25:29
AV-105;AnalogValue;105;Highest Allowed Cooling Water Temp ;15;;06.12.2022;14:25:29
AV-106;AnalogValue;106;Lowest Allowed Heating Water Temp ;25;;06.12.2022;14:25:29
AV-107;AnalogValue;107;Winter Start Temperature ;-10;;06.12.2022;14:25:29
AV-108;AnalogValue;108;Winter Max Temperature ;-30;;06.12.2022;14:25:29
AV-109;AnalogValue;109;Winter Temp Diff ;0;;06.12.2022;14:25:29
AV-110;AnalogValue;110;Summer Start Temperature ;20;;06.12.2022;14:25:29
AV-111;AnalogValue;111;Summer Max Temperature ;40;;06.12.2022;14:25:29
AV-112;AnalogValue;112;Summer Temp Diff ;10;;06.12.2022;14:25:29
AV-113;AnalogValue;113;Max Supply Pressure ;1000;;06.12.2022;14:25:29
AV-114;AnalogValue;114;Max Extract Pressure ;1000;;06.12.2022;14:25:29
AV-1001;AnalogValue;1001;ZoneModule 1 Room Temperature Setpoint ;21;;06.12.2022;14:25:29
AV-1002;AnalogValue;1002;ZoneModule 1 Minimum Supply Temperature ;15;;06.12.2022;14:25:29
AV-1003;AnalogValue;1003;ZoneModule 1 Maximum Supply Temperature ;40;;06.12.2022;14:25:29
AV-1004;AnalogValue;1004;ZoneModule 1 Room CO2 Setpoint ;800;;06.12.2022;14:25:29
AV-1005;AnalogValue;1005;ZoneModule 1 Room RH Setpoint ;70;;06.12.2022;14:25:29
AV-1006;AnalogValue;1006;ZoneModule 1 VAV Supply PIR Min. Air Flow ;20;;06.12.2022;14:25:29
AV-1007;AnalogValue;1007;ZoneModule 1 VAV Supply 1 Min. Air Flow ;50;;06.12.2022;14:25:29
AV-1008;AnalogValue;1008;ZoneModule 1 VAV Supply 1 Max. Air Flow ;175;;06.12.2022;14:25:29
AV-1009;AnalogValue;1009;ZoneModule 1 VAV Supply 2 Min. Air Flow ;10;;06.12.2022;14:25:29
AV-1010;AnalogValue;1010;ZoneModule 1 VAV Supply 2 Max. Air Flow ;100;;06.12.2022;14:25:29
AV-1011;AnalogValue;1011;ZoneModule 1 VAV Extract Min. Air Flow ;50;;06.12.2022;14:25:29
AV-1012;AnalogValue;1012;ZoneModule 1 VAV Extract Max. Air Flow ;175;;06.12.2022;14:25:29
AV-1013;AnalogValue;1013;ZoneModule 1 VAV Supply 1 Nominal Air Flow ;270;;06.12.2022;14:25:29
AV-1014;AnalogValue;1014;ZoneModule 1 VAV Supply 2 Nominal Air Flow ;100;;06.12.2022;14:25:29
AV-1015;AnalogValue;1015;ZoneModule 1 VAV Extract Nominal Air Flow ;270;;06.12.2022;14:25:29
AV-1016;AnalogValue;1016;ZoneModule 1 Room Panel Low Air Flow ;20;;06.12.2022;14:25:29
AV-1017;AnalogValue;1017;ZoneModule 1 Room Panel High Air Flow ;90;;06.12.2022;14:25:29
AV-1018;AnalogValue;1018;ZoneModule 1 Room Panel Override Timeout ;60;;06.12.2022;14:25:29
AV-1019;AnalogValue;1019;ZoneModule 1 Heat Valve Max. Flow ;198;;06.12.2022;14:25:29
AV-1020;AnalogValue;1020;ZoneModule 1 Cool Valve Max. Flow ;252;;06.12.2022;14:25:29
AV-1021;AnalogValue;1021;ZoneModule 1 Operation Mode from BMS ;0;;06.12.2022;14:25:29
AV-1101;AnalogValue;1101;ZoneModule 2 Room Temperature Setpoint ;21;;06.12.2022;14:25:29
AV-1102;AnalogValue;1102;ZoneModule 2 Minimum Supply Temperature ;15;;06.12.2022;14:25:29
AV-1103;AnalogValue;1103;ZoneModule 2 Maximum Supply Temperature ;40;;06.12.2022;14:25:29
AV-1104;AnalogValue;1104;ZoneModule 2 Room CO2 Setpoint ;800;;06.12.2022;14:25:29
AV-1105;AnalogValue;1105;ZoneModule 2 Room RH Setpoint ;70;;06.12.2022;14:25:29
AV-1106;AnalogValue;1106;ZoneModule 2 VAV Supply PIR Min. Air Flow ;20;;06.12.2022;14:25:29
AV-1107;AnalogValue;1107;ZoneModule 2 VAV Supply 1 Min. Air Flow ;50;;06.12.2022;14:25:29
AV-1108;AnalogValue;1108;ZoneModule 2 VAV Supply 1 Max. Air Flow ;175;;06.12.2022;14:25:29
AV-1109;AnalogValue;1109;ZoneModule 2 VAV Supply 2 Min. Air Flow ;10;;06.12.2022;14:25:29
AV-1110;AnalogValue;1110;ZoneModule 2 VAV Supply 2 Max. Air Flow ;100;;06.12.2022;14:25:29
AV-1111;AnalogValue;1111;ZoneModule 2 VAV Extract Min. Air Flow ;50;;06.12.2022;14:25:29
AV-1112;AnalogValue;1112;ZoneModule 2 VAV Extract Max. Air Flow ;175;;06.12.2022;14:25:29
AV-1113;AnalogValue;1113;ZoneModule 2 VAV Supply 1 Nominal Air Flow ;270;;06.12.2022;14:25:29
AV-1114;AnalogValue;1114;ZoneModule 2 VAV Supply 2 Nominal Air Flow ;100;;06.12.2022;14:25:29
AV-1115;AnalogValue;1115;ZoneModule 2 VAV Extract Nominal Air Flow ;270;;06.12.2022;14:25:29
AV-1116;AnalogValue;1116;ZoneModule 2 Room Panel Low Air Flow ;20;;06.12.2022;14:25:29
AV-1117;AnalogValue;1117;ZoneModule 2 Room Panel High Air Flow ;90;;06.12.2022;14:25:29
AV-1118;AnalogValue;1118;ZoneModule 2 Room Panel Override Timeout ;60;;06.12.2022;14:25:29
AV-1119;AnalogValue;1119;ZoneModule 2 Heat Valve Max. Flow ;198;;06.12.2022;14:25:29
AV-1120;AnalogValue;1120;ZoneModule 2 Cool Valve Max. Flow ;252;;06.12.2022;14:25:29
AV-1121;AnalogValue;1121;ZoneModule 2 Operation Mode from BMS ;0;;06.12.2022;14:25:29
